id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18654505,"Zen Cottage & Studio-Private room in home ""loft""",14484953,Lindsay,,78702,30.25149597357363,-97.72238824963001,Private room,75,1,40,2019-01-20,2.21,2,0
18673604,Keep Austin Cozy,129791360,Kelli,,78745,30.199459223699424,-97.77304378938506,Entire home/apt,55,2,4,2017-07-13,0.20,1,0
18674132,1/1 Guesthouse in the heart of Zilker,9332741,Brian,,78704,30.24948102805151,-97.78030591000082,Entire home/apt,199,2,10,2018-10-15,0.64,2,171
18674810,Your home away from home!,129788721,William,,78723,30.299121563719638,-97.70862922078979,Entire home/apt,75,2,23,2018-08-26,1.08,1,0
18684918,Urban Farmhouse with Bikes close to East 6th St,6304279,Brittanie And Brock,,78702,30.254988195885492,-97.71415730060754,Entire home/apt,140,2,102,2019-01-27,5.29,1,26
18686060,The Hills retreat,17778035,Arvi,,78738,30.314210982795448,-97.99223286964175,Private room,55,1,22,2018-05-20,1.13,1,0
18688155,Eclectic 2/1  Artist space.,129908025,Judy,,78728,30.42669579251917,-97.67404364746116,Entire home/apt,88,1,11,2018-11-16,0.53,1,239
18704181,Lake Travis Charm - STAY HERE!! Lake Travis Lakefront Home w/ Dock- 30 minutes to Downtown!,15864252,Walker Luxury Vacation,,78734,30.42624711921488,-97.9270875204481,Entire home/apt,657,2,4,2018-08-28,0.23,13,167
18706906,ZEN ROOM 2,1427814,Andrea,,78747,30.162108483931593,-97.7375722213595,Private room,75,30,2,2018-05-31,0.17,9,274
18707194,Blue Sky Room 4,1427814,Andrea,,78744,30.16126179336408,-97.73540599490867,Private room,35,30,6,2018-11-22,0.61,9,340
18720660,North Austin getaway,66368342,Adam,,78728,30.440252600568144,-97.69439343071292,Entire home/apt,70,2,1,2017-05-21,0.05,1,0
18720910,The Sweet Spot. ACL Perfect,27564171,Jaime,,78704,30.25751795236084,-97.77152581202101,Entire home/apt,350,2,15,2018-10-08,0.71,1,175
18722690,1930s Duplex in Central point of Austin,9213301,Shion,,78731,30.310532472656263,-97.75418923397163,Private room,40,2,15,2018-04-27,0.76,1,0
18730475,Magnificent Estate Across from Lake Austin,99002770,Allison,,78732,30.351034348175645,-97.8695856465468,Entire home/apt,1150,2,10,2018-10-08,0.51,1,302
18733063,Centrally located 2/1 urban oasis!,5191725,Julie,,78751,30.30871181536001,-97.7136986999217,Entire home/apt,75,3,4,2018-03-16,0.21,1,45
